Индекс,Модель,R²,MAPE (%),Значимые переменные
JUNR,Model A,0.803,11.96,"Цена Золота, Цена фондового рынка, ИПЦ, Ставка, GDP"
JUNR,Model B,0.816,11.33,"ln_Gold, ИПЦ, Ставка, ln_GDP"
JUNR,Model C,0.791,12.83,"ln_Gold, ln_Stock, ИПЦ"
GDM,Model A,0.753,15.58,"Цена Золота, Цена фондового рынка, ИПЦ, Ставка, GDP"
GDM,Model B,0.679,19.04,"ln_Gold, ln_Stock, ИПЦ, Ставка, ln_GDP"
GDM,Model C,0.45,25.32,"ln_Gold, ln_Stock, ИПЦ, Ставка"
MVG,Model A,0.712,25.98,"Цена Золота, Цена фондового рынка, Ставка, GDP"
MVG,Model B,0.718,25.26,"ln_Gold, ln_Stock, ИПЦ, Ставка, ln_GDP"
MVG,Model C,0.422,37.05,"ln_Gold, ln_Stock, Ставка"
SPT,Model A,0.74,16.31,"Цена Золота, Цена фондового рынка, ИПЦ, Ставка, GDP"
SPT,Model B,0.673,19.32,"ln_Gold, ln_Stock, ИПЦ, Ставка, ln_GDP"
SPT,Model C,0.461,25.11,"ln_Gold, ln_Stock, ИПЦ, Ставка"
GDX,Model A,0.8,14.4,"Цена Золота, Цена фондового рынка, Ставка, GDP"
GDX,Model B,0.737,17.38,"ln_Gold, ln_Stock, ИПЦ, Ставка, ln_GDP"
GDX,Model C,0.361,27.25,"ln_Gold, ln_Stock, Ставка"
HUI,Model A,0.805,15.71,"Цена Золота, Цена фондового рынка, ИПЦ, Ставка, GDP"
HUI,Model B,0.77,18.56,"ln_Gold, ln_Stock, ИПЦ, Ставка, ln_GDP"
HUI,Model C,0.558,26.17,"ln_Gold, ln_Stock, ИПЦ, Ставка"
FTGM,Model A,0.727,16.89,"Цена Золота, Цена фондового рынка, Ставка, GDP"
FTGM,Model B,0.648,20.4,"ln_Gold, ln_Stock, ИПЦ, Ставка, ln_GDP"
FTGM,Model C,0.454,26.48,"ln_Gold, ln_Stock, Ставка"
XAU,Model A,0.749,15.19,"Цена Золота, Цена фондового рынка, ИПЦ, Ставка, GDP"
XAU,Model B,0.639,19.66,"ln_Gold, ln_Stock, ИПЦ, Ставка, ln_GDP"
XAU,Model C,0.37,26.12,"ln_Gold, ln_Stock, ИПЦ, Ставка"
