,Gold,GDM,MVG,XGD,GDX,HUI,FTGM,XAU,S&P,USD,Oil,Vix,ex_rate
Gold,1.0,0.7599,0.7419,0.758,0.7602,0.749,0.7474,0.7294,0.0444,-0.4149,0.1821,-0.0204,0.2937
GDM,0.7599,1.0,0.9596,0.9841,0.9793,0.9804,0.9494,0.9779,0.3042,-0.4131,0.2604,-0.2079,0.4303
MVG,0.7419,0.9596,1.0,0.9285,0.93,0.9308,0.9263,0.9385,0.2294,-0.4061,0.1889,-0.1441,0.4026
XGD,0.758,0.9841,0.9285,1.0,0.981,0.9887,0.9449,0.9813,0.2947,-0.4063,0.2528,-0.2057,0.4283
GDX,0.7602,0.9793,0.93,0.981,1.0,0.982,0.927,0.9763,0.2924,-0.4081,0.2593,-0.1941,0.4125
HUI,0.749,0.9804,0.9308,0.9887,0.982,1.0,0.931,0.9861,0.2342,-0.3807,0.1915,-0.1651,0.3794
FTGM,0.7474,0.9494,0.9263,0.9449,0.927,0.931,1.0,0.9226,0.2427,-0.4215,0.2509,-0.1587,0.3919
XAU,0.7294,0.9779,0.9385,0.9813,0.9763,0.9861,0.9226,1.0,0.3535,-0.4095,0.2832,-0.2543,0.4505
S&P,0.0444,0.3042,0.2294,0.2947,0.2924,0.2342,0.2427,0.3535,1.0,-0.1924,0.3098,-0.7367,0.523
USD,-0.4149,-0.4131,-0.4061,-0.4063,-0.4081,-0.3807,-0.4215,-0.4095,-0.1924,1.0,-0.1791,0.1036,-0.5441
Oil,0.1821,0.2604,0.1889,0.2528,0.2593,0.1915,0.2509,0.2832,0.3098,-0.1791,1.0,-0.2385,0.3939
Vix,-0.0204,-0.2079,-0.1441,-0.2057,-0.1941,-0.1651,-0.1587,-0.2543,-0.7367,0.1036,-0.2385,1.0,-0.3953
ex_rate,0.2937,0.4303,0.4026,0.4283,0.4125,0.3794,0.3919,0.4505,0.523,-0.5441,0.3939,-0.3953,1.0
